Reviewing 44651 records with 24 workers
  29400/44651 (24652 skip, 5 err) 16.1/s eta=947s
  29600/44651 (24653 skip, 5 err) 15.7/s eta=960s
  29800/44651 (24654 skip, 6 err) 15.2/s eta=979s
  30000/44651 (24654 skip, 7 err) 14.8/s eta=991s
  30200/44651 (24654 skip, 7 err) 14.4/s eta=1003s
  30400/44651 (24654 skip, 8 err) 14.0/s eta=1019s
  30600/44651 (24655 skip, 8 err) 13.7/s eta=1029s
  30800/44651 (24656 skip, 9 err) 13.3/s eta=1041s
  31000/44651 (24661 skip, 10 err) 12.9/s eta=1056s
  31200/44651 (24661 skip, 10 err) 12.5/s eta=1072s
  31400/44651 (24661 skip, 10 err) 12.2/s eta=1083s
  31600/44651 (24661 skip, 10 err) 12.0/s eta=1089s
  31800/44651 (24662 skip, 11 err) 11.7/s eta=1096s
  32000/44651 (24662 skip, 11 err) 11.5/s eta=1102s
  32200/44651 (24662 skip, 11 err) 11.2/s eta=1108s
  32400/44651 (24663 skip, 11 err) 11.0/s eta=1113s
  32600/44651 (24663 skip, 11 err) 10.8/s eta=1116s
  32800/44651 (24663 skip, 11 err) 10.6/s eta=1121s
  33000/44651 (24663 skip, 11 err) 10.4/s eta=1123s
  33200/44651 (24663 skip, 11 err) 10.1/s eta=1135s
  33400/44651 (24663 skip, 11 err) 9.8/s eta=1150s
  33600/44651 (24663 skip, 11 err) 9.5/s eta=1161s
  33800/44651 (24663 skip, 11 err) 9.3/s eta=1167s
  34000/44651 (24663 skip, 12 err) 9.2/s eta=1163s
  34200/44651 (24667 skip, 12 err) 9.0/s eta=1159s
  34400/44651 (24675 skip, 12 err) 8.9/s eta=1152s
  34600/44651 (24679 skip, 13 err) 8.8/s eta=1146s
  34800/44651 (24679 skip, 14 err) 8.6/s eta=1141s
  35000/44651 (24679 skip, 15 err) 8.5/s eta=1134s
  35200/44651 (24679 skip, 16 err) 8.4/s eta=1125s
  35400/44651 (24679 skip, 16 err) 8.3/s eta=1114s
  35600/44651 (24679 skip, 16 err) 8.2/s eta=1104s
  35800/44651 (24679 skip, 16 err) 8.1/s eta=1094s
  36000/44651 (24679 skip, 16 err) 8.0/s eta=1082s
  36200/44651 (24685 skip, 19 err) 7.9/s eta=1069s
  36400/44651 (24686 skip, 20 err) 7.8/s eta=1055s
  36600/44651 (24688 skip, 23 err) 7.7/s eta=1042s
  36800/44651 (24688 skip, 23 err) 7.6/s eta=1028s
  37000/44651 (24688 skip, 23 err) 7.5/s eta=1015s
  37200/44651 (24688 skip, 24 err) 7.5/s eta=997s
  37400/44651 (24688 skip, 25 err) 7.4/s eta=985s
  37600/44651 (24688 skip, 25 err) 7.3/s eta=972s
  37800/44651 (24688 skip, 27 err) 7.2/s eta=954s
  38000/44651 (24688 skip, 28 err) 7.1/s eta=938s
  38200/44651 (24688 skip, 28 err) 7.0/s eta=920s
  38400/44651 (24688 skip, 28 err) 6.9/s eta=902s
  38600/44651 (24688 skip, 29 err) 6.9/s eta=882s
  38800/44651 (24688 skip, 30 err) 6.8/s eta=862s
  39000/44651 (24688 skip, 54 err) 6.6/s eta=855s
  39200/44651 (24688 skip, 56 err) 6.6/s eta=832s
  39400/44651 (24688 skip, 56 err) 6.5/s eta=808s
  39600/44651 (24688 skip, 56 err) 6.5/s eta=782s
  39800/44651 (24688 skip, 57 err) 6.4/s eta=756s
  40000/44651 (24688 skip, 57 err) 6.4/s eta=732s
  40200/44651 (24688 skip, 58 err) 6.3/s eta=705s
  40400/44651 (24688 skip, 58 err) 6.3/s eta=679s
  40600/44651 (24688 skip, 58 err) 6.2/s eta=651s
  40800/44651 (24688 skip, 59 err) 6.2/s eta=623s
  41000/44651 (24688 skip, 60 err) 6.1/s eta=594s
  41200/44651 (24688 skip, 60 err) 6.1/s eta=567s
  41400/44651 (24688 skip, 60 err) 6.0/s eta=538s
  41600/44651 (24688 skip, 61 err) 6.0/s eta=508s
  41800/44651 (24688 skip, 61 err) 6.0/s eta=478s
  42000/44651 (24693 skip, 61 err) 5.9/s eta=447s
  42200/44651 (24701 skip, 61 err) 5.9/s eta=416s
  42400/44651 (24707 skip, 62 err) 5.9/s eta=385s
  42600/44651 (24707 skip, 62 err) 5.8/s eta=352s
  42800/44651 (24708 skip, 62 err) 5.8/s eta=320s
  43000/44651 (24713 skip, 62 err) 5.8/s eta=286s
  43200/44651 (24713 skip, 62 err) 5.7/s eta=253s
  43400/44651 (24713 skip, 62 err) 5.7/s eta=219s
  43600/44651 (24713 skip, 63 err) 5.7/s eta=185s
  43800/44651 (24713 skip, 63 err) 5.6/s eta=151s
  44000/44651 (24714 skip, 64 err) 5.6/s eta=116s
  44200/44651 (24714 skip, 64 err) 5.6/s eta=80s
  44400/44651 (24714 skip, 66 err) 5.6/s eta=45s
